symbol,companyName,industry
GINNIFILA,Ginni Filaments Limited,Other Textile Products
BHANDARI,Bhandari Hosiery Exports Limited,Other Textile Products
IMFA,Indian Metals & Ferro Alloys Limited,Ferro & Silica Manganese
FCSSOFT,FCS Software Solutions Limited,IT Enabled Services
OLAELEC,Ola Electric Mobility Limited,2/3 Wheelers
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,Other Textile Products
EXICOM,Exicom Tele-Systems Limited,Heavy Electrical Equipment
IEX,Indian Energy Exchange Limited,Exchange and Data Platform
INDOTECH,Indo Tech Transformers Limited,Heavy Electrical Equipment
SPCENET,Spacenet Enterprises India Limited,Trading & Distributors
RHETAN,Rhetan TMT Limited,Iron & Steel Products
HINDOILEXP,Hindustan Oil Exploration Company Limited,Oil Exploration & Production
CALSOFT,California Software Company Limited,Computers - Software & Consulting
NELCO,NELCO Limited,Computers Hardware & Equipments
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Dyes And Pigments
ANTGRAPHIC,Antarctica Limited,Packaging
JGCHEM,J.G.Chemicals Limited,Commodity Chemicals
GVPTECH,GVP Infotech Limited,IT Enabled Services
TINNARUBR,Tinna Rubber and Infrastructure Limited,Rubber
CRIZAC,Crizac Limited,Internet & Catalogue Retail
RELTD,Ravindra Energy Limited,Other Electrical Equipment
MUTHOOTCAP,Muthoot Capital Services Limited,Non Banking Financial Company (NBFC)
PATELENG,Patel Engineering Limited,Civil Construction
NIITMTS,NIIT Learning Systems Limited,Education
PAKKA,PAKKA LIMITED,Paper & Paper Products
HMAAGRO,HMA Agro Industries Limited,Meat Products including Poultry
SANGAMIND,Sangam (India) Limited,Other Textile Products
INDOTHAI,Indo Thai Securities Limited,Stockbroking & Allied
SHYAMMETL,Shyam Metalics and Energy Limited,Iron & Steel Products
GANECOS,Ganesha Ecosphere Limited,Other Textile Products
SHAILY,Shaily Engineering Plastics Limited,Plastic Products - Consumer
RGL,Renaissance Global Limited,Gems Jewellery And Watches
BSHSL,Bombay Super Hybrid Seeds Limited,Other Agricultural Products
SUMICHEM,Sumitomo Chemical India Limited,Pesticides & Agrochemicals
GTL,GTL Limited,Other Telecom Services
SWSOLAR,Sterling and Wilson Renewable Energy Limited,Civil Construction
UTKARSHBNK,Utkarsh Small Finance Bank Limited,Other Bank
OMPOWER,Om Power Transmission Limited,Civil Construction
SIYSIL,Siyaram Silk Mills Limited,Other Textile Products
ATUL,Atul Limited,Specialty Chemicals
MAGNUM,Magnum Ventures Limited,Paper & Paper Products
SAKSOFT,Saksoft Limited,Computers - Software & Consulting
TBOTEK,TBO Tek Limited,Tour Travel Related Services
SUBROS,Subros Limited,Other Industrial Products
JKIL,J.Kumar Infraprojects Limited,Civil Construction
MAWANASUG,Mawana Sugars Limited,Sugar
SHINDL,Sharat Industries Limited,Seafood
MANBA,Manba Finance Limited,Non Banking Financial Company (NBFC)
AVANTIFEED,Avanti Feeds Limited,Animal Feed
TPLPLASTEH,TPL Plastech Limited,Packaging
APCOTEXIND,Apcotex Industries Limited,Rubber
SEPC,SEPC Limited,Civil Construction
CLEDUCATE,CL Educate Limited,Education
GKENERGY,GK Energy Limited,Civil Construction
WELSPLSOL,Welspun Specialty Solutions Limited,Iron & Steel Products
GSMFOILS,GSM Foils Limited,Packaging
ALLDIGI,Alldigi Tech Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
NIRAJ,Niraj Cement Structurals Limited,Civil Construction
HGS,Hinduja Global Solutions Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
INSECTICID,Insecticides (India) Limited,Pesticides & Agrochemicals
INVENTURE,Inventure Growth & Securities Limited,Stockbroking & Allied
SASKEN,Sasken Technologies Limited,IT Enabled Services
ALKYLAMINE,Alkyl Amines Chemicals Limited,Specialty Chemicals
SHRIRAMPPS,Shriram Properties Limited,Residential Commercial Projects
ARIHANTSUP,Arihant Superstructures Limited,Residential Commercial Projects
GANDHAR,Gandhar Oil Refinery (India) Limited,Lubricants
SHREERAMA,Shree Rama Multi-Tech Limited,Packaging
IGCL,Indogulf Cropsciences Limited,Pesticides & Agrochemicals
LANDSMILL,Landsmill Green Limited,Trading & Distributors
PILITA,PIL ITALICA LIFESTYLE LIMITED,Plastic Products - Consumer
CONTROLPR,Control Print Limited,Computers Hardware & Equipments
AHLUCONT,Ahluwalia Contracts (India) Limited,Civil Construction
BALAJITELE,Balaji Telefilms Limited,Media & Entertainment
UBL,United Breweries Limited,Breweries & Distilleries
CANTABIL,Cantabil Retail India Limited,Garments & Apparels
LEMERITE,Le Merite Exports Limited,Trading - Textile Products
GRINFRA,G R Infraprojects Limited,Civil Construction
GULFPETRO,GP Petroleums Limited,Lubricants
JUBLCPL,Jubilant Agri and Consumer Products Limited,Specialty Chemicals
DIFFNKG,Diffusion Engineers Limited,Other Industrial Products
MANAKALUCO,Manaksia Aluminium Company Limited,Aluminium
PVP,PVP Ventures Limited,Residential Commercial Projects
AEGISVOPAK,Aegis Vopak Terminals Limited,Oil Storage & Transportation
CENTRUM,Centrum Capital Limited,Other Financial Services
ORIENTPPR,Orient Paper & Industries Limited,Paper & Paper Products
MSPL,MSP Steel & Power Limited,Iron & Steel Products
GLOBUSSPR,Globus Spirits Limited,Breweries & Distilleries
PATANJALI,Patanjali Foods Limited,Edible Oil
AEROENTER,Aeroflex Enterprises Limited,Iron & Steel Products
VIDYAWIRES,Vidya Wires Limited,Aluminium Copper & Zinc Products
IIFLCAPS,IIFL Capital Services Limited,Stockbroking & Allied
ABREL,Aditya Birla Real Estate Limited,Residential Commercial Projects
AARTIIND,Aarti Industries Limited,Specialty Chemicals
GESHIP,The Great Eastern Shipping Company Limited,Shipping
HARDWYN,Hardwyn India Limited,Furniture Home Furnishing
MRPL,Mangalore Refinery and Petrochemicals Limited,Refineries & Marketing
MGL,Mahanagar Gas Limited,LPG/CNG/PNG/LNG Supplier
GENUSPOWER,Genus Power Infrastructures Limited,Other Electrical Equipment
FRACTAL,Fractal Analytics Limited,Computers - Software & Consulting
THELEELA,Leela Palaces Hotels & Resorts Limited,Hotels & Resorts
GPIL,Godawari Power And Ispat limited,Iron & Steel Products
SWARAJENG,Swaraj Engines Limited,Compressors Pumps & Diesel Engines
JINDALPOLY,Jindal Poly Films Limited,Packaging
TARIL,Transformers And Rectifiers (India) Limited,Heavy Electrical Equipment
SUNTECK,Sunteck Realty Limited,Residential Commercial Projects
ICIL,Indo Count Industries Limited,Other Textile Products
RAJSREESUG,Rajshree Sugars & Chemicals Limited,Sugar
RUPA,Rupa & Company Limited,Garments & Apparels
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Pesticides & Agrochemicals
AZAD,Azad Engineering Limited,Heavy Electrical Equipment
AMAGI,Amagi Media Labs Limited,IT Enabled Services
3PLAND,3P Land Holdings Limited,Investment Company
PARKHOSPS,Park Medi World Limited,Hospital
GALLANTT,Gallantt Ispat Limited,Iron & Steel Products
AFSL,Abans Financial Services Limited,Holding Company
APOLLOPIPE,Apollo Pipes Limited,Plastic Products - Industrial
INDUSINDBK,IndusInd Bank Limited,Private Sector Bank
ALEMBICLTD,Alembic Limited,Residential Commercial Projects
ONGC,Oil & Natural Gas Corporation Limited,Oil Exploration & Production
BLIL,Balmer Lawrie Investments Limited,Non Banking Financial Company (NBFC)
FINKURVE,Finkurve Financial Services Limited,Non Banking Financial Company (NBFC)
TICL,Twamev Construction and Infrastructure Limited,Civil Construction
ASIANTILES,Asian Granito India Limited,Ceramics
JUNIPER,Juniper Hotels Limited,Hotels & Resorts
MAHLIFE,Mahindra Lifespace Developers Limited,Residential Commercial Projects
KSCL,Kaveri Seed Company Limited,Other Agricultural Products
KIRLOSBROS,Kirloskar Brothers Limited,Compressors Pumps & Diesel Engines
JARO,Jaro Institute of Technology Management and Research Limited,E-Learning
XPROINDIA,Xpro India Limited,Packaging
HCLTECH,HCL Technologies Limited,Computers - Software & Consulting
INTENTECH,Intense Technologies Limited,IT Enabled Services
CHEVIOT,Cheviot Company Limited,Jute & Jute Products
SEIL,Shanti Educational Initiatives Limited,Education
VARDHACRLC,Vardhman Acrylics Limited,Other Textile Products
RPEL,Raghav Productivity Enhancers Limited,Electrodes & Refractories
RTNINDIA,RattanIndia Enterprises Limited,E-Retail/ E-Commerce
CLEAN,Clean Science and Technology Limited,Specialty Chemicals
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Commodity Chemicals
ROTO,Roto Pumps Limited,Compressors Pumps & Diesel Engines
COSMOFIRST,COSMO FIRST LIMITED,Packaging
SPORTKING,Sportking India Limited,Other Textile Products
SULA,Sula Vineyards Limited,Breweries & Distilleries
CEREBRAINT,Cerebra Integrated Technologies Limited,Computers Hardware & Equipments
SHANTIGOLD,Shanti Gold International Limited,Gems Jewellery And Watches
AGIIL,Agi Infra Limited,Residential Commercial Projects
DEEPINDS,Deep Industries Limited,Oil Equipment & Services
KSHINTL,KSH International Limited,Aluminium Copper & Zinc Products
BEPL,Bhansali Engineering Polymers Limited,Specialty Chemicals
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Packaged Foods
DRAGARWQ,Dr Agarwals Eye Hospital Limited,Hospital
GULPOLY,Gulshan Polyols Limited,Other Agricultural Products
VHLTD,Viceroy Hotels Limited,Hotels & Resorts
TDPOWERSYS,TD Power Systems Limited,Heavy Electrical Equipment
EPL,EPL Limited,Packaging
UNIVCABLES,Universal Cables Limited,Cables - Electricals
CGPOWER,CG Power and Industrial Solutions Limited,Heavy Electrical Equipment
QPOWER,Quality Power Electrical Equipments Limited,Heavy Electrical Equipment
WCIL,Western Carriers (India) Limited,Logistics Solution Provider
MUTHOOTFIN,Muthoot Finance Limited,Non Banking Financial Company (NBFC)
JAYNECOIND,Jayaswal Neco Industries Limited,Iron & Steel Products
GAEL,Gujarat Ambuja Exports Limited,Other Agricultural Products
SUNFLAG,Sunflag Iron And Steel Company Limited,Iron & Steel Products
LIKHITHA,Likhitha Infrastructure Limited,Civil Construction
VEEDOL,Veedol Corporation Limited,Lubricants
INA,Insolation Energy Limited,Other Electrical Equipment
KHADIM,Khadim India Limited,Footwear
GUJGASLTD,Gujarat Gas Limited,LPG/CNG/PNG/LNG Supplier
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Other Financial Services
IVC,IL&FS Investment Managers Limited,Asset Management Company
XTGLOBAL,Xtglobal Infotech Limited,Computers - Software & Consulting
AAATECH,AAA Technologies Limited,Consulting Services
IZMO,IZMO Limited,IT Enabled Services
ASIANHOTNR,Asian Hotels (North) Limited,Hotels & Resorts
MARSONS,Marsons Limited,Heavy Electrical Equipment
V2RETAIL,V2 Retail Limited,Speciality Retail
MAHSEAMLES,Maharashtra Seamless Limited,Iron & Steel Products
AJMERA,Ajmera Realty & Infra India Limited,Residential Commercial Projects
INDIAGLYCO,India Glycols Limited,Breweries & Distilleries
DWARKESH,Dwarikesh Sugar Industries Limited,Sugar
AYE,Aye Finance Limited,Non Banking Financial Company (NBFC)
KSB,Ksb Limited,Compressors Pumps & Diesel Engines
BANSWRAS,Banswara Syntex Limited,Other Textile Products
MAYURUNIQ,Mayur Uniquoters Ltd,Leather And Leather Products
PFS,PTC India Financial Services Limited,Non Banking Financial Company (NBFC)
HARSHA,Harsha Engineers International Limited,Other Industrial Products
PARSVNATH,Parsvnath Developers Limited,Residential Commercial Projects
MAFATIND,Mafatlal Industries Limited,Other Textile Products
VIKRAN,Vikran Engineering Limited,Civil Construction
ORIENTTECH,Orient Technologies Limited,IT Enabled Services
RELAXO,Relaxo Footwears Limited,Footwear
TSFINV,TSF INVESTMENTS LIMITED,Investment Company
SKMEGGPROD,SKM Egg Products Export (India) Limited,Meat Products including Poultry
CAPINVIT,Capital Infra Trust,Civil Construction
UYFINCORP,U. Y. Fincorp Limited,Non Banking Financial Company (NBFC)
SOLARINDS,Solar Industries India Limited,Explosives
IIFL,IIFL Finance Limited,Non Banking Financial Company (NBFC)
POLYPLEX,Polyplex Corporation Limited,Packaging
SWIGGY,Swiggy Limited,E-Retail/ E-Commerce
MARATHON,Marathon Nextgen Realty Limited,Residential Commercial Projects
JUSTDIAL,Just Dial Limited,Internet & Catalogue Retail
ARVINDFASN,Arvind Fashions Limited,Speciality Retail
MEESHO,Meesho Limited,E-Retail/ E-Commerce
DCI,Dc Infotech And Communication Limited,Computers - Software & Consulting
DSSL,Dynacons Systems & Solutions Limited,IT Enabled Services
CAPACITE,Capacit'e Infraprojects Limited,Civil Construction
NESTLEIND,Nestle India Limited,Packaged Foods
IONEXCHANG,ION Exchange (India) Limited,Water Supply & Management
NITINSPIN,Nitin Spinners Limited,Other Textile Products
SRF,SRF Limited,Specialty Chemicals
OIL,Oil India Limited,Oil Exploration & Production
ADANIGREEN,Adani Green Energy Limited,Power Generation
SDBL,Som Distilleries & Breweries Limited,Breweries & Distilleries
HEXT,Hexaware Technologies Limited,Computers - Software & Consulting
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,Hospital
MOTILALOFS,Motilal Oswal Financial Services Limited,Stockbroking & Allied
ONEPOINT,One Point One Solutions Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
MARICO,Marico Limited,Edible Oil
RHIM,RHI MAGNESITA INDIA LIMITED,Electrodes & Refractories
GODIGIT,Go Digit General Insurance Limited,General Insurance
BLS,BLS International Services Limited,Tour Travel Related Services
IGPL,IG Petrochemicals Limited,Commodity Chemicals
NETWEB,Netweb Technologies India Limited,IT Enabled Services
BRITANNIA,Britannia Industries Limited,Packaged Foods
NTPC,NTPC Limited,Power Generation
PNBGILTS,PNB Gilts Limited,Investment Company
GKSL,Gujarat Kidney And Super Speciality Limited,Hospital
MINDTECK,Mindteck (India) Limited,Computers - Software & Consulting
SGMART,SG Mart Limited,Trading - Metals
LTF,L&T Finance Limited,Investment Company
SMCGLOBAL,SMC Global Securities Limited,Stockbroking & Allied
GAIL,GAIL (India) Limited,Gas Transmission/Marketing
FEDFINA,Fedbank Financial Services Limited,Non Banking Financial Company (NBFC)
NDTV,New Delhi Television Limited,TV Broadcasting & Software Production
GULFOILLUB,Gulf Oil Lubricants India Limited,Lubricants
VIKASLIFE,Vikas Lifecare Limited,Trading & Distributors
PURVA,Puravankara Limited,Residential Commercial Projects
JPPOWER,Jaiprakash Power Ventures Limited,Power Generation
AEGISLOG,Aegis Logistics Limited,Trading - Gas
SAATVIKGL,Saatvik Green Energy Limited,Other Electrical Equipment
SILLYMONKS,Silly Monks Entertainment Limited,Media & Entertainment
RESPONIND,Responsive Industries Limited,Furniture Home Furnishing
JSWINFRA,JSW Infrastructure Limited,Port & Port services
NAM-INDIA,Nippon Life India Asset Management Limited,Asset Management Company
HGINFRA,H.G. Infra Engineering Limited,Civil Construction
HISARMETAL,Hisar Metal Industries Limited,Iron & Steel Products
ADANIPOWER,Adani Power Limited,Integrated Power Utilities
ECLERX,eClerx Services Limited,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
NSLNISP,NMDC Steel Limited,Iron & Steel
EMAMIPAP,Emami Paper Mills Limited,Paper & Paper Products
JWL,Jupiter Wagons Limited,Railway Wagons
ATALREAL,Atal Realtech Limited,Residential Commercial Projects
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Port & Port services
FORTIS,Fortis Healthcare Limited,Hospital
SBC,SBC Exports Limited,Garments & Apparels
GHCLTEXTIL,GHCL Textiles Limited,Other Textile Products
SRM,SRM Contractors Limited,Civil Construction
JSWSTEEL,JSW Steel Limited,Iron & Steel
INDOSTAR,IndoStar Capital Finance Limited,Non Banking Financial Company (NBFC)
CEMPRO,Cemindia Projects Limited,Civil Construction
TECHNOE,Techno Electric & Engineering Company Limited,Civil Construction
GICRE,General Insurance Corporation of India,General Insurance
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Commodity Chemicals
GOCOLORS,Go Fashion (India) Limited,Speciality Retail
INTELLECT,Intellect Design Arena Limited,Computers - Software & Consulting
MSTCLTD,Mstc Limited,Trading & Distributors
ATGL,Adani Total Gas Limited,LPG/CNG/PNG/LNG Supplier
SHRINGARMS,Shringar House of Mangalsutra Limited,Gems Jewellery And Watches
CHOICEIN,Choice International Limited,Holding Company
BAJAJ-AUTO,Bajaj Auto Limited,2/3 Wheelers
NCC,NCC Limited,Civil Construction
ACI,Archean Chemical Industries Limited,Specialty Chemicals
AQYLON,Aqylon Nexus Limited,TV Broadcasting & Software Production
ZAGGLE,Zaggle Prepaid Ocean Services Limited,IT Enabled Services
SAMMAANCAP,Sammaan Capital Limited,Housing Finance Company
PDSL,PDS Limited,Trading - Textile Products
SHILCTECH,Shilchar Technologies Limited,Heavy Electrical Equipment
ADSL,Allied Digital Services Limited,IT Enabled Services
SURAJEST,Suraj Estate Developers Limited,Residential Commercial Projects
AVROIND,AVRO INDIA LIMITED,Plastic Products - Consumer
FLUOROCHEM,Gujarat Fluorochemicals Limited,Specialty Chemicals
PVRINOX,PVR INOX Limited,Film Production Distribution & Exhibition
ZENSARTECH,Zensar Technologies Limited,Computers - Software & Consulting
GOKULAGRO,Gokul Agro Resources Limited,Edible Oil
MEDPLUS,Medplus Health Services Limited,Pharmacy Retail
PRIVISCL,Privi Speciality Chemicals Limited,Specialty Chemicals
TIIL,Technocraft Industries (India) Limited,Iron & Steel Products
ANGELONE,Angel One Limited,Stockbroking & Allied
AIAENG,AIA Engineering Limited,Castings & Forgings
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Stockbroking & Allied
SERVOTECH,Servotech Renewable Power System Limited,Other Electrical Equipment
SARLAPOLY,Sarla Performance Fibers Limited,Other Textile Products
CRAMC,Canara Robeco Asset Management Company Limited,Asset Management Company
TRANSRAILL,Transrail Lighting Limited,Heavy Electrical Equipment
KIOCL,KIOCL Limited,Sponge Iron
ASALCBR,Associated Alcohols & Breweries Ltd.,Breweries & Distilleries
ASTERDM,Aster DM Healthcare Limited,Hospital
APEX,Apex Frozen Foods Limited,Seafood
WELCORP,Welspun Corp Limited,Iron & Steel Products
POONAWALLA,Poonawalla Fincorp Limited,Non Banking Financial Company (NBFC)
DREDGECORP,Dredging Corporation of India Limited,Dredging
HDIL,Housing Development and Infrastructure Limited,Residential Commercial Projects
ICRA,ICRA Limited,Ratings
KNRCON,KNR Constructions Limited,Civil Construction
POKARNA,Pokarna Limited,Granites & Marbles
ICICIAMC,ICICI Prudential Asset Management Company Limited,Asset Management Company
TMPV,Tata Motors Passenger Vehicles Limited,Passenger Cars & Utility Vehicles
STEELXIND,STEEL EXCHANGE INDIA LIMITED,Iron & Steel Products
KPIL,Kalpataru Projects International Limited,Civil Construction
JYOTISTRUC,Jyoti Structures Limited,Heavy Electrical Equipment
NLCINDIA,NLC India Limited,Power Generation
INDOAMIN,Indo Amines Limited,Specialty Chemicals
RVNL,Rail Vikas Nigam Limited,Civil Construction
COALINDIA,Coal India Limited,Coal
HCL-INSYS,HCL Infosystems Limited,Computers Hardware & Equipments
SIEMENS,Siemens Limited,Heavy Electrical Equipment
AJOONI,Ajooni Biotech Limited,Animal Feed
POLYCAB,Polycab India Limited,Cables - Electricals
KRBL,KRBL Limited,Other Agricultural Products
THOMASCOOK,Thomas Cook  (India)  Limited,Tour Travel Related Services
TARC,TARC Limited,Residential Commercial Projects
BAIDFIN,Baid Finserv Limited,Non Banking Financial Company (NBFC)
TAC,TAC Infosec Limited,Computers - Software & Consulting
VTL,Vardhman Textiles Limited,Other Textile Products
AEROFLEX,Aeroflex Industries Limited,Iron & Steel Products
NAVINFLUOR,Navin Fluorine International Limited,Specialty Chemicals
LT,Larsen & Toubro Limited,Civil Construction
RUBFILA,Rubfila International Limited,Rubber
360ONE,360 ONE WAM LIMITED,Stockbroking & Allied
TATAINVEST,Tata Investment Corporation Limited,Investment Company
ADANIENT,Adani Enterprises Limited,Trading - Minerals
CHENNPETRO,Chennai Petroleum Corporation Limited,Refineries & Marketing
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,Other Agricultural Products
BHARATCOAL,Bharat Coking Coal Limited,Coal
PRAKASH,Prakash Industries Limited,Iron & Steel
TITAN,Titan Company Limited,Gems Jewellery And Watches
KOVAI,Kovai Medical Center & Hospital Limited,HOSPITAL
VAKRANGEE,Vakrangee Limited,IT Enabled Services
PRAKASHSTL,Prakash Steelage Limited,Iron & Steel Products
DODLA,Dodla Dairy Limited,Dairy Products
PNBHOUSING,PNB Housing Finance Limited,Housing Finance Company
MAZDOCK,Mazagon Dock Shipbuilders Limited,Ship Building & Allied Services
NYKAA,FSN E-Commerce Ventures Limited,E-Retail/ E-Commerce
ANDHRSUGAR,The Andhra Sugars Limited,Commodity Chemicals
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Hospital
BALKRISIND,Balkrishna Industries Limited,Tyres & Rubber Products
RADICO,Radico Khaitan Limited,Breweries & Distilleries
BHEL,Bharat Heavy Electricals Limited,Heavy Electrical Equipment
HIMATSEIDE,Himatsingka Seide Limited,Other Textile Products
JAIPURKURT,Nandani Creation Limited,Garments & Apparels
MAANALU,Maan Aluminium Limited,Aluminium
POWERICA,Powerica Limited,Heavy Electrical Equipment
TERASOFT,Tera Software Limited,IT Enabled Services
ABFRL,Aditya Birla Fashion and Retail Limited,Speciality Retail
KALAMANDIR,Sai Silks (Kalamandir) Limited,Speciality Retail
JAICORPLTD,Jai Corp Limited,Plastic Products - Industrial
APARINDS,Apar Industries Limited,Other Electrical Equipment
LENSKART,Lenskart Solutions Limited,Speciality Retail
LAXMIDENTL,Laxmi Dental Limited,Medical Equipment & Supplies
SHAH,Shah Metacorp Limited,Iron & Steel Products
HEG,HEG Limited,Electrodes & Refractories
CAMPUS,Campus Activewear Limited,Footwear
SCI,Shipping Corporation Of India Limited,Shipping
VESUVIUS,Vesuvius India Limited,Electrodes & Refractories
EMMVEE,Emmvee Photovoltaic Power Limited,Other Electrical Equipment
ARKADE,Arkade Developers Limited,Residential Commercial Projects
SHAKTIPUMP,Shakti Pumps (India) Limited,Compressors Pumps & Diesel Engines
ITCHOTELS,ITC Hotels Limited,Hotels & Resorts
WELSPUNLIV,Welspun Living Limited,Other Textile Products
JAYSREETEA,Jayshree Tea & Industries Limited,Tea & Coffee
BSE,BSE Limited,Exchange and Data Platform
63MOONS,63 moons technologies limited,Computers - Software & Consulting
BLKASHYAP,B. L. Kashyap and Sons Limited,Civil Construction
SENCO,Senco Gold Limited,Gems Jewellery And Watches
GARUDA,Garuda Construction and Engineering Limited,Civil Construction
MGEL,Mangalam Global Enterprise Limited,Other Agricultural Products
VINCOFE,Vintage Coffee And Beverages Limited,Trading & Distributors
ARFIN,Arfin India Limited,Aluminium
HATHWAY,Hathway Cable & Datacom Limited,TV Broadcasting & Software Production
CANFINHOME,Can Fin Homes Limited,Housing Finance Company
CENTURYPLY,Century Plyboards (India) Limited,Plywood Boards/ Laminates
CSBBANK,CSB Bank Limited,Private Sector Bank
GRAPHITE,Graphite India Limited,Electrodes & Refractories
RIIL,Reliance Industrial Infrastructure Limited,Logistics Solution Provider
PCBL,PCBL Chemical Limited,Carbon Black
HINDCOPPER,Hindustan Copper Limited,Copper
ABCOTS,A B Cotspin India Limited,Other Textile Products
MICEL,MIC Electronics Limited,Other Industrial Products
CAMS,Computer Age Management Services Limited,Depositories Clearing Houses and Other Intermediaries
SKIPPER,Skipper Limited,Heavy Electrical Equipment
JSLL,Jeena Sikho Lifecare Limited,Wellness
BBL,Bharat Bijlee Limited,Heavy Electrical Equipment
BANARISUG,Bannari Amman Sugars Limited,Sugar
MANINFRA,Man Infraconstruction Limited,Residential Commercial Projects
KITEX,Kitex Garments Limited,Garments & Apparels
OLECTRA,Olectra Greentech Limited,Passenger Cars & Utility Vehicles
ATHERENERG,Ather Energy Limited,2/3 Wheelers
SHREEJISPG,Shreeji Shipping Global Limited,Shipping
MAXHEALTH,Max Healthcare Institute Limited,Hospital
SURYAROSNI,Surya Roshni Limited,Iron & Steel Products
SUZLON,Suzlon Energy Limited,Heavy Electrical Equipment
HINDZINC,Hindustan Zinc Limited,Zinc
ISGEC,Isgec Heavy Engineering Limited,Civil Construction
DIGITIDE,Digitide Solutions Limited,IT Enabled Services
KWIL,Kwality Wall's (India) Limited,Dairy Products
GICL,Globe International Carriers Limited,Logistics Solution Provider
BBOX,Black Box Limited,IT Enabled Services
NBCC,NBCC (India) Limited,Civil Construction
DHAMPURSUG,Dhampur Sugar Mills Limited,Sugar
ORIENTHOT,Oriental Hotels Limited,Hotels & Resorts
GIPCL,Gujarat Industries Power Company Limited,Power Generation
BCG,Brightcom Group Limited,IT Enabled Services
DBOL,Dhampur Bio Organics Limited,Sugar
MARUTI,Maruti Suzuki India Limited,Passenger Cars & Utility Vehicles
STANLEY,Stanley Lifestyles Limited,Furniture Home Furnishing
RBLBANK,RBL Bank Limited,Private Sector Bank
RISHABH,Rishabh Instruments Limited,Other Electrical Equipment
KPRMILL,K.P.R. Mill Limited,Other Textile Products
CHALET,Chalet Hotels Limited,Hotels & Resorts
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Other Textile Products
RTNPOWER,RattanIndia Power Limited,Power Generation
EMAMIREAL,Emami Realty Limited,Residential Commercial Projects
SAPPHIRE,Sapphire Foods India Limited,Restaurants
EIEL,Enviro Infra Engineers Limited,Water Supply & Management
PFOCUS,Prime Focus Limited,Media & Entertainment
HUBTOWN,Hubtown Limited,Residential Commercial Projects
ESTER,Ester Industries Limited,Packaging
JMA,Jullundur Motor Agency (Delhi) Limited,Trading - Auto Components
ELGIEQUIP,Elgi Equipments Limited,Compressors Pumps & Diesel Engines
INTERARCH,Interarch Building Solutions Limited,Civil Construction
ANANTAM,Anantam Highways Trust,Civil Construction
CEINSYS,Ceinsys Tech Limited,IT Enabled Services
INGERRAND,Ingersoll Rand (India) Limited,Compressors Pumps & Diesel Engines
PIDILITIND,Pidilite Industries Limited,Specialty Chemicals
CRISIL,CRISIL Limited,Other Financial Services
SAGILITY,SAGILITY LIMITED,IT Enabled Services
WAAREERTL,Waaree Renewable Technologies Limited,Other Electrical Equipment
TEMBO,Tembo Global Industries Limited,Iron & Steel Products
HBLENGINE,HBL Engineering Limited,Other Industrial Products
PRESTIGE,Prestige Estates Projects Limited,Residential Commercial Projects
GANDHITUBE,Gandhi Special Tubes Limited,Iron & Steel Products
PAISALO,Paisalo Digital Limited,Non Banking Financial Company (NBFC)
ARVSMART,Arvind SmartSpaces Limited,Residential Commercial Projects
VERANDA,Veranda Learning Solutions Limited,E-Learning
COFFEEDAY,Coffee Day Enterprises Limited,Restaurants
SHARDACROP,Sharda Cropchem Limited,Pesticides & Agrochemicals
OBEROIRLTY,Oberoi Realty Limited,Residential Commercial Projects
JAGRAN,Jagran Prakashan Limited,Print Media
STYLAMIND,Stylam Industries Limited,Plywood Boards/ Laminates
GODREJPROP,Godrej Properties Limited,Residential Commercial Projects
TIRUMALCHM,Thirumalai Chemicals Limited,Commodity Chemicals
EASEMYTRIP,Easy Trip Planners Limited,Tour Travel Related Services
CELEBRITY,Celebrity Fashions Limited,Garments & Apparels
TOTAL,Total Transport Systems Limited,Logistics Solution Provider
NORTHARC,Northern Arc Capital Limited,Non Banking Financial Company (NBFC)
RATNAVEER,Ratnaveer Precision Engineering Limited,Iron & Steel Products
SIRCA,Sirca Paints India Limited,Paints
ICICIGI,ICICI Lombard General Insurance Company Limited,General Insurance
INDUSINVIT,Indus Infra Trust,Road Assets - Toll Annuity Hybrid-Annuity
APLAPOLLO,APL Apollo Tubes Limited,Iron & Steel Products
INDIAMART,Indiamart Intermesh Limited,Internet & Catalogue Retail
BATAINDIA,Bata India Limited,Footwear
HYUNDAI,Hyundai Motor India Limited,Passenger Cars & Utility Vehicles
MANAKSTEEL,Manaksia Steels Limited,Iron & Steel
